time,com_x,com_y,r_com_x,r_com_y,cp_1_x,cp_1_y,cp_2_x,cp_2_y,cp_3_x,cp_3_y,cp_4_x,cp_4_y,r_cp_1_x,r_cp_1_y,r_cp_2_x,r_cp_2_y,r_cp_3_x,r_cp_3_y,r_cp_4_x,r_cp_4_y,st_icm_2,st_sp_2,st_raw_2,st_org_2,r_st_2,st_2,tan_sp_2,tan_icm_2,v_icm_2,v_sp_2,v_2,d_2
     0.1255,   0.0778979, -0.00691228,   0.0782652,  -0.0069363,    0.479752,    0.222866,    0.480278,   -0.220473,    -0.63398,     0.22281,    -0.63356,   -0.220365,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0, -0.00100237,           0,           0,  -0.0680437,  -0.0676118,    0.182462,           0,           0,   -0.388119, 0.000388119,           0
    0.13075,   0.0778799, -0.00691801,   0.0782652,  -0.0069363,    0.479936,    0.222894,    0.480636,   -0.220437,   -0.634131,    0.222782,    -0.63355,   -0.220391,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,  0.00687688,           0,           0,   -0.068084,  -0.0676363,    0.205463,           0,           0,   -0.436849, 0.000436849,           0
     0.1355,   0.0778732, -0.00692287,   0.0782652,  -0.0069363,    0.480141,    0.222926,    0.481019,   -0.220414,   -0.634177,    0.222751,   -0.633432,   -0.220426,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0144608,           0,           0,  -0.0681073,  -0.0676564,    0.229838,           0,           0,   -0.497804, 0.000497804,           0
     0.1405,   0.0778321, -0.00692821,   0.0782652,  -0.0069363,    0.480067,     0.22295,    0.480986,   -0.220391,   -0.634307,    0.222762,   -0.633522,   -0.220416,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0218137,           0,           0,  -0.0681467,  -0.0676922,    0.227808,           0,           0,    -0.54287,  0.00054287,           0
     0.1455,    0.077776, -0.00693916,   0.0782652,  -0.0069363,    0.480001,    0.222963,     0.48092,   -0.220378,   -0.634372,    0.222775,   -0.633587,   -0.220403,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0284334,           0,           0,  -0.0681664,  -0.0677121,    0.223706,           0,           0,   -0.574142, 0.000574142,           0
     0.1505,   0.0777686, -0.00693777,   0.0782652,  -0.0069363,    0.480194,    0.222978,    0.481308,   -0.220351,   -0.634378,    0.222736,   -0.633421,   -0.220434,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0346375,           0,           0,  -0.0681859,   -0.067694,    0.248166,           0,           0,   -0.620358, 0.000620358,           0
     0.1555,   0.0776848, -0.00694684,   0.0782652,  -0.0069363,    0.480084,    0.223003,    0.481197,   -0.220325,   -0.634488,    0.222761,   -0.633531,   -0.220409,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0412151,           0,           0,  -0.0682099,  -0.0677184,    0.241361,           0,           0,    -0.64891,  0.00064891,           0
     0.1605,   0.0776968, -0.00693993,   0.0782652,  -0.0069363,    0.480232,    0.223016,    0.481565,   -0.220325,   -0.634493,    0.222734,   -0.633333,   -0.220442,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0451943,           0,           0,  -0.0682122,  -0.0677406,    0.264225,           0,           0,   -0.691986, 0.000691986,           0
     0.1655,    0.077671, -0.00693748,   0.0782652,  -0.0069363,    0.480298,    0.223008,    0.481813,   -0.220323,   -0.634528,    0.222749,   -0.633209,   -0.220422,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0475544,           0,           0,  -0.0681972,  -0.0677942,     0.27957,           0,           0,   -0.739418, 0.000739418,           0
      0.171,   0.0776018, -0.00694169,   0.0782652,  -0.0069363,    0.480289,    0.223013,    0.481843,   -0.220319,   -0.634556,    0.222763,   -0.633202,   -0.220407,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0494241,           0,           0,  -0.0681822,  -0.0678104,    0.281398,           0,           0,   -0.775488, 0.000775488,           0
